f_id,f_ori_name,f_eng_name,langual,f_origen,edible_portion
769,"Barra de chocolate, tipo ""Mars""","Chocolate bar, type ""mars""",A0288 A0456 A0630 A0699 A0733 A0768 A0835 B1012 C0108 E0105 F0014 G0003 H0100 H0205 H0231 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
770,"Barra de chocolate, tipo ""Kit-kat""","Chocolate bar, type ""kit kat""",A0288 A0456 A0630 A0699 A0733 A0768 A0835 B1012 C0108 E0105 F0014 G0003 H0152 H0221 H0231 H0355 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
771,Mermelada de albaricoque,"Marmalade, apricot",A0251 A0467 A0629 A0663 A0722 A0732 A0837 B1529 C0137 E0134 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
772,Mermelada de ciruela,"Marmalade, plum",A0251 A0467 A0629 A0663 A0722 A0732 A0837 B1206 C0137 E0134 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
773,Mermelada de grosella roja,"Marmalade, red currant",A0251 A0467 A0629 A0663 A0722 A0732 A0837 B1055 C0137 E0134 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
774,Mermelada de mora,"Marmalade, blackberry",A0251 A0467 A0629 A0663 A0722 A0732 A0837 B1407 C0137 E0134 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
775,Mermelada de naranja,"Marmalade, orange",A0251 A0467 A0629 A0663 A0722 A0732 A0837 B1339 C0137 E0134 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
776,Chocolate con leche y almendras,Chocolate with milk and almonds,A0272 A0456 A0630 A0663 A0699 A0733 A0839 B1012 C0210 E0140 F0014 G0003 H0177 H0184 H0231 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
777,Chocolate con leche y arroz,Chocolate with milk and rice,A0272 A0456 A0630 A0663 A0699 A0733 A0839 B1012 C0210 E0140 F0014 G0003 H0184 H0231 H0321 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
778,Chocolate con nueces de macadamia,Chocolate with macadamian nuts,A0272 A0456 A0630 A0663 A0699 A0733 A0839 B1012 C0210 E0140 F0014 G0003 H0177 H0231 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
779,"Tortilla, a la francesa",French ommelette,A0284 A0461 A0635 A0718 A0725 A0744 A0792 B1713 C0225 E0140 F0014 G0026 H0263 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0110,BEDCA,1.000000
780,"Azúcar, moreno","Sugar, brown",A0118 A0462 A0636 A0662 A0697 A0733 A0836 B1012 C0210 E0143 F0014 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
